Comment,Designator,Footprint,LCSC
BQ24092DGQR,UCharger1,IC_XTR111AIDGQR,C133237
10u,"C1,C2",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C13585
300,R300,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17887
100,R100,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17901
10k,"R3,R5",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17902
2k,"R2,RISet2,Rterm1",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17944
1u,"C3,C4",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C1848
0.4,"RIsense1,RIsense2",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C25334
SW_Push,SW1,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W8.61mm_P2.54mm_LowProfile,C318884
1k,"R1,RISet1",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C4410
DRV8832DGQ,"UMotor1,UMotor2",IC_XTR111AIDGQR,C74846
TestPoint,TPVs1,TestPoint_Pad_1.0x1.0mm,
TestPoint,TPPWM4,TestPoint_Pad_1.0x1.0mm,
TestPoint,TPPWM3,TestPoint_Pad_1.0x1.0mm,
TestPoint,TPPWM2,TestPoint_Pad_1.0x1.0mm,
TestPoint,TPPWM1,TestPoint_Pad_1.0x1.0mm,
TestPoint,TPM1F1,TestPoint_Pad_D1.0mm,
Conn_02x08_Odd_Even,J1,PinHeader_2x08_P2.00mm_Vertical,
Conn_01x02_Female,JBatt1,PinHeader_1x02_P2.54mm_Vertical,
TestPoint,TPM2B1,TestPoint_Pad_1.0x1.0mm,
TestPoint,TPM2A1,TestPoint_Pad_1.0x1.0mm,
TestPoint,TPM1B1,TestPoint_Pad_1.0x1.0mm,
TestPoint,TPM1A1,TestPoint_Pad_1.0x1.0mm,
TestPoint,TPPG1,TestPoint_Pad_D1.0mm,
TestPoint,TPM2F1,TestPoint_Pad_D1.0mm,
TestPoint,TPChg1,TestPoint_Pad_D1.0mm,
TestPoint,TPBatt1,TestPoint_Pad_D1.0mm,
